Date,Open,High,Low,Close,Adj Close,Volume,cumret
1995-05-04,52.34375,52.6875,52.125,52.25,31.734086990356445,311400,1.0
1995-05-05,52.46875,52.46875,52.078125,52.1875,31.69610595703125,314900,0.9988031471226275
1995-05-08,52.140625,52.734375,52.09375,52.5625,31.923879623413086,183100,1.0059807182451574
1995-05-09,52.78125,52.84375,52.4375,52.515625,31.895416259765625,180600,1.0050837848102643
1995-05-10,52.65625,52.671875,52.328125,52.578125,31.93337059020996,330300,1.0062797962302832
1995-05-11,52.65625,52.71875,52.484375,52.71875,32.0187873840332,351700,1.0089714379923165
1995-05-12,52.515625,52.875,52.5,52.75,32.037757873535156,94600,1.0095692333379873
1995-05-15,52.890625,53.0,52.78125,53.0,32.18960189819336,147200,1.0143541204754163
1995-05-16,52.984375,53.15625,52.890625,53.03125,32.208580017089844,221600,1.014952156237474
1995-05-17,53.03125,53.046875,52.78125,52.828125,32.085205078125,189200,1.0110643828472283
1995-05-18,52.734375,52.765625,52.0625,52.0625,31.62018394470215,577800,0.9964107035539131
1995-05-19,51.984375,52.1875,51.90625,52.09375,31.639150619506836,363900,0.9970083786913908
1995-05-22,52.265625,52.75,52.234375,52.671875,31.99030876159668,216000,1.0080740237246497
1995-05-23,52.765625,53.15625,52.609375,53.15625,32.28450012207031,136800,1.0173445397020917
1995-05-24,53.25,53.421875,52.796875,53.125,32.265499114990234,370800,1.0167457826908737
1995-05-25,52.96875,53.21875,52.71875,53.171875,32.29397201538086,379900,1.0176430166462502
1995-05-26,52.96875,52.984375,52.359375,52.5625,31.923879623413086,518600,1.0059807182451574
1995-05-30,52.6875,52.828125,52.375,52.546875,31.91437339782715,61500,1.0056811594272586
1995-05-31,52.453125,53.640625,52.453125,53.640625,32.57866668701172,564500,1.0266142743262767
1995-06-01,53.40625,53.90625,53.25,53.5,32.49325942993164,810100,1.0239229330847268
1995-06-02,53.28125,53.921875,53.09375,53.546875,32.5217399597168,112900,1.0248204074564902
1995-06-05,53.546875,54.046875,53.5,53.875,32.72101974487305,257200,1.03110008347858
1995-06-06,53.828125,54.015625,53.78125,53.78125,32.66408920288086,165800,1.0293060964006
1995-06-07,53.671875,53.703125,53.4375,53.5,32.49325942993164,41900,1.0239229330847268
1995-06-08,53.484375,53.640625,53.375,53.375,32.41734313964844,141100,1.0215306698283024
1995-06-09,53.265625,53.328125,52.75,53.0625,32.2275505065918,304900,1.015549951583145
1995-06-12,53.234375,53.578125,53.203125,53.359375,32.407867431640625,378500,1.0212320726759503
1995-06-13,53.609375,53.96875,53.5625,53.9375,32.75897216796875,120000,1.032296034794502
1995-06-14,53.859375,53.953125,53.6875,53.890625,32.73052215576172,389400,1.0313995220882857
1995-06-15,53.96875,54.234375,53.875,54.125,32.87287521362305,274500,1.035885331240589
1995-06-16,53.703125,53.96875,53.703125,53.96875,32.97045135498047,325100,1.038960136619016
